PrimaryDI|publicDeviceRecordKey|publicVersionStatus|deviceRecordStatus|publicVersionNumber|publicVersionDate|devicePublishDate|deviceCommDistributionEndDate|deviceCommDistributionStatus|brandName|versionModelNumber|catalogNumber|dunsNumber|companyName|deviceCount|deviceDescription|DMExempt|premarketExempt|deviceHCTP|deviceKit|deviceCombinationProduct|singleUse|lotBatch|serialNumber|manufacturingDate|expirationDate|donationIdNumber|labeledContainsNRL|labeledNoNRL|MRISafetyStatus|rx|otc|deviceSterile|sterilizationPriorToUse
00836462006010|ff5bf874-99d4-4291-9ad4-cd3a280688df|Update|Published|6|2023-07-14|2016-04-02||In Commercial Distribution|N/A|103-0304||826110710|Micro Therapeutics, Inc.|5|103-0304 CADENCE INJECT0R 5-BX||||||true|true|||||||Labeling does not contain MRI Safety Information|true||true|true
00836462004689|d6df56c7-f7c6-46c7-848f-fb393677b6de|Update|Published|3|2019-03-21|2015-10-06||In Commercial Distribution|HyperForm|104-4715|104-4715|826110710|Micro Therapeutics, Inc.|1|Occlusion Balloon System||||||true|true|||true||||Labeling does not contain MRI Safety Information||true|true|
00836462004665|6e859402-4236-43d2-b86f-8c9a85cd3ec9|Update|Published|3|2019-03-21|2015-10-06||In Commercial Distribution|HyperForm|104-4420|104-4420|826110710|Micro Therapeutics, Inc.|1|Occlusion Balloon System||||||true|true|||true||||Labeling does not contain MRI Safety Information||true|true|
00836462004641|c4b379fa-0f4d-4c43-bd8b-801e58ac7053|Update|Published|3|2019-03-21|2015-10-06||In Commercial Distribution|HyperForm|104-4415|104-4415|826110710|Micro Therapeutics, Inc.|1|Occlusion Balloon System||||||true|true|||true||||Labeling does not contain MRI Safety Information||true|true|
00836462004627|37d52806-70ab-41ed-bb60-9aa51a48a723|Update|Published|3|2019-03-21|2015-10-06||In Commercial Distribution|HyperForm|104-4153|104-4153|826110710|Micro Therapeutics, Inc.|1|Occlusion Balloon System||||||true|true|||true||||Labeling does not contain MRI Safety Information||true|true|
00836462004603|3c643e7d-2658-40c4-9061-87e5814f18ce|Update|Published|3|2019-03-21|2015-10-06||In Commercial Distribution|HyperForm|104-4370|104-4370|826110710|Micro Therapeutics, Inc.|1|Occlusion Balloon System||||||true|true|||true||||Labeling does not contain MRI Safety Information||true|true|
00836462004580|ad52064a-4981-43c3-b8a5-045428d356e8|Update|Published|4|2019-03-21|2015-10-06||In Commercial Distribution|HyperGlide|104-4530|104-4530|826110710|Micro Therapeutics, Inc.|1|Occlusion Balloon System||||||true|true|||true||||Labeling does not contain MRI Safety Information||true|true|
00836462004467|b5b3a7d5-ecc9-4185-9fb3-217f4e671844|Update|Published|4|2019-03-21|2015-10-06||In Commercial Distribution|HyperGlide|104-4515|104-4515|826110710|Micro Therapeutics, Inc.|1|Occlusion Balloon System||||||true|true|||true||||Labeling does not contain MRI Safety Information||true|true|
00836462004184|a5015ce3-b240-4ba8-bf25-5cd9fce3a071|Update|Published|3|2019-03-21|2015-10-06||In Commercial Distribution|HyperForm|104-4470|104-4470|826110710|Micro Therapeutics, Inc.|1|Occlusion Balloon System||||||true|true|||true||||Labeling does not contain MRI Safety Information||true|true|
00836462004177|49b672d1-f8da-4344-8ab6-f044229ff3fb|Update|Published|4|2019-03-21|2015-10-06||In Commercial Distribution|HyperGlide|104-4132|104-4132|826110710|Micro Therapeutics, Inc.|1|Occlusion Balloon System|true|||||true|true|||true||||Labeling does not contain MRI Safety Information||true|true|
00836462004146|faeecaa0-ba54-4e93-9f91-8fd74afc0b53|Update|Published|4|2019-03-21|2015-10-06||In Commercial Distribution|HyperGlide|104-4127|104-4127|826110710|Micro Therapeutics, Inc.|1|Occlusion Balloon System|true|||||true|true|||true||||Labeling does not contain MRI Safety Information||true|true|
00836462004122|8757d09e-9e39-4482-9705-2a1d6525c88b|Update|Published|4|2019-03-21|2015-10-06||In Commercial Distribution|HyperGlide|104-4113|104-4113|826110710|Micro Therapeutics, Inc.|1|Occlusion Balloon System|true|||||true|true|||true||||Labeling does not contain MRI Safety Information||true|true|
00836462004559|25317c9e-fc7c-497e-af81-a296764fba34|Update|Published|4|2019-03-21|2015-10-06||In Commercial Distribution|HyperGlide|104-4315|104-4315|826110710|Micro Therapeutics, Inc.|1|Occlusion Balloon System||||||true|true|||true||||Labeling does not contain MRI Safety Information||true|true|
00836462004542|3052f6b4-3e5d-4619-a87b-43e00860c4be|Update|Published|4|2019-03-21|2015-10-06||In Commercial Distribution|HyperGlide|104-4310|104-4310|826110710|Micro Therapeutics, Inc.|1|Occlusion Balloon System||||||true|true|||true||||Labeling does not contain MRI Safety Information||true|true|
00836462004481|e339b37f-69bd-4cec-af4f-8a9bad86f392|Update|Published|4|2019-03-21|2015-10-06||In Commercial Distribution|HyperGlide|104-4520|104-4520|826110710|Micro Therapeutics, Inc.|1|Occlusion Balloon System||||||true|true|||true||||Labeling does not contain MRI Safety Information||true|true|
00836462004207|27d594d2-26d4-4244-9b7a-362235cc183b|Update|Published|3|2019-03-21|2015-10-06||In Commercial Distribution|HyperForm|104-4770|104-4770|826110710|Micro Therapeutics, Inc.|1|Occlusion Balloon System||||||true|true|||true||||Labeling does not contain MRI Safety Information||true|true|
00836462004115|cf802a0a-f1ae-49ec-97a7-3813f5fea215|Update|Published|4|2019-03-21|2015-10-06||In Commercial Distribution|HyperGlide|104-4112|104-4112|826110710|Micro Therapeutics, Inc.|1|Occlusion Balloon System|true|||||true|true|||true||||Labeling does not contain MRI Safety Information||true|true|
M781DFH80115901|64cab480-9eb0-4cf1-ad31-a9bdc181d993|Update|Published|3|2019-03-21|2016-09-19||In Commercial Distribution|TwinFlo™ Catheter |DFH80-115/90||138648154|Thermopeutix, Inc.|1|The TwinFlo™ Catheter consists of a two concentric tubular shafts (inflow and outflow lumens, IFL and OFL) that can infuse diagnostic and therapeutic agents to selected regions, as well as direct arterial blood or other solutions to a specific region or organ.  The lumens may be accessed using external devices connected to these lumens.  There are two additional smaller lumens; one lumen is used for inflation of the distal balloon on the inflow lumen while the second small lumen permits pressure monitoring distal to the balloon.  Inflation of the balloon isolates the region distal to the balloon permitting infusion into the vascular region of interest.  When used to provide perfusion or control blood flow, blood exits via the outflow lumen to an extracorporeal circuit and is returned via the inflow lumen distal to the inflated balloon.  The catheter is supplied with heparin in the hydrophilic coating.||||||true|true||true|true||||Labeling does not contain MRI Safety Information|true||true|
