PrimaryDI|sizeType|size (Unit)|size (Value)|sizeText
00836462004689|Outer Diameter|Millimeter|7|
00836462004689|Length|Millimeter|15|
00836462004665|Length|Millimeter|20|
00836462004665|Outer Diameter|Millimeter|4|
00836462004641|Length|Millimeter|15|
00836462004641|Outer Diameter|Millimeter|4|
00836462004627|Length|Millimeter|15|
00836462004627|Outer Diameter|Millimeter|3|
00836462004603|Length|Millimeter|7|
00836462004603|Outer Diameter|Millimeter|3|
00836462004580|Outer Diameter|Millimeter|5|
00836462004580|Length|Millimeter|30|
00836462004467|Length|Millimeter|15|
00836462004467|Outer Diameter|Millimeter|5|
00836462004184|Length|Millimeter|7|
00836462004184|Outer Diameter|Millimeter|4|
00836462004177|Outer Diameter|Millimeter|4|
00836462004177|Length|Millimeter|30|
00836462004146|Length|Millimeter|20|
00836462004146|Outer Diameter|Millimeter|4|
00836462004122|Length|Millimeter|10|
00836462004122|Outer Diameter|Millimeter|4|
00836462004559|Outer Diameter|Millimeter|3|
00836462004559|Length|Millimeter|15|
00836462004542|Outer Diameter|Millimeter|3|
00836462004542|Length|Millimeter|10|
00836462004481|Length|Millimeter|20|
00836462004481|Outer Diameter|Millimeter|5|
00836462004207|Outer Diameter|Millimeter|7|
00836462004207|Length|Millimeter|7|
00836462004115|Length|Millimeter|15|
00836462004115|Outer Diameter|Millimeter|4|
M781DFH80115901|Device Size Text, specify|||Outflow Length: 90 cm
M781DFH80115901|Device Size Text, specify|||Inflow Length: 115 cm	
M781DFH80115901|Device Size Text, specify|||Balloon Diameter: 8.0 mm
M781DFH80115901|Device Size Text, specify|||Sheath Compatibility: 14 Fr
M781DFH80115801|Device Size Text, specify|||Sheath Compatibility: 14 Fr
M781DFH80115801|Device Size Text, specify|||Outflow Length: 80 cm		
M781DFH80115801|Device Size Text, specify|||Inflow Length: 115 cm	
M781DFH80115801|Device Size Text, specify|||Balloon Diameter: 8.0 mm
M781DFH60115901|Device Size Text, specify|||Sheath Compatibility: 14 Fr
M781DFH60115901|Device Size Text, specify|||Outflow Length: 90 cm	
M781DFH60115901|Device Size Text, specify|||Inflow Length: 115 cm	
M781DFH60115901|Device Size Text, specify|||Balloon Diameter: 6.0 mm	
M781DFH60115801|Device Size Text, specify|||Sheath Compatibility: 14 Fr
M781DFH60115801|Device Size Text, specify|||Outflow Length: 80 cm
M781DFH60115801|Device Size Text, specify|||Inflow Length: 115 cm	
M781DFH60115801|Device Size Text, specify|||Balloon Diameter: 6.0 mm	
M781DFH10135901|Device Size Text, specify|||Sheath Compatibility: 14 Fr
M781DFH10135901|Device Size Text, specify|||Outflow Length: 90 cm	
M781DFH10135901|Device Size Text, specify|||Inflow Length: 135 cm
M781DFH10135901|Device Size Text, specify|||Balloon Diameter: 10.0 mm	
M781DFH10115901|Device Size Text, specify|||Sheath Compatibility: 14 Fr
M781DFH10115901|Device Size Text, specify|||Outflow Length: 90 cm		
M781DFH10115901|Device Size Text, specify|||Inflow Length: 115 cm	
M781DFH10115901|Device Size Text, specify|||Balloon Diameter: 10.0 mm	
M781DFH10115801|Device Size Text, specify|||Outflow Length: 80 cm	
M781DFH10115801|Device Size Text, specify|||Inflow Length: 115 cm
M781DFH10115801|Device Size Text, specify|||Balloon Diameter: 10.0 mm
M781DFH10115801|Device Size Text, specify|||Sheath Compatibility: 14 Fr
M781DF80115801|Device Size Text, specify|||Outflow Length: 80 cm
M781DF80115801|Device Size Text, specify|||Inflow Length: 115 cm
M781DF80115801|Device Size Text, specify|||Balloon Diameter: 8.0 mm
M781DF80115801|Device Size Text, specify|||Sheath Compatibility: 14 Fr
M781DF60115801|Device Size Text, specify|||Outflow Length: 80 cm	
M781DF60115801|Device Size Text, specify|||Inflow Length: 115 cm	
M781DF60115801|Device Size Text, specify|||Balloon Diameter: 6.0 mm
M781DF60115801|Device Size Text, specify|||Sheath Compatibility: 14 Fr
M781DF45115801|Device Size Text, specify|||Outflow Length: 80 cm
M781DF45115801|Device Size Text, specify|||Inflow Length: 115 cm
M781DF45115801|Device Size Text, specify|||Balloon Diameter: 4.5 mm
M781DF45115801|Device Size Text, specify|||Sheath Compatibility: 14 Fr
M781DF10135901|Device Size Text, specify|||Sheath Compatibility: 14 Fr
M781DF10135901|Device Size Text, specify|||Outflow Length: 90 cm	
M781DF10135901|Device Size Text, specify|||Inflow Length: 135 cm
M781DF10135901|Device Size Text, specify|||Balloon Diameter: 10.0 mm
M781DF10115801|Device Size Text, specify|||Sheath Compatibility: 14 Fr
M781DF10115801|Device Size Text, specify|||Outflow Length: 80 cm
M781DF10115801|Device Size Text, specify|||Inflow Length: 115 cm	
M781DF10115801|Device Size Text, specify|||Balloon Diameter: 10.0 mm
M7819680801|Device Size Text, specify|||Sheath Compatibility: 8 Fr
M7819680801|Device Size Text, specify|||Treatment Length: 15 mm - 300 mm
M7819680801|Device Size Text, specify|||Distal Balloon Useable Shaft Length: 165 cm
M7819680801|Device Size Text, specify|||Proximal Balloon Shaft Length: 135 cm
M7819680801|Device Size Text, specify|||Distal Balloon Diameter: 8.0 mm
M7819680801|Device Size Text, specify|||Proximal Balloon Diameter: 8.0 mm
M7819660601|Device Size Text, specify|||Sheath Compatibility: 8 Fr
M7819660601|Device Size Text, specify|||Treatment Length: 15 mm - 300 mm
M7819660601|Device Size Text, specify|||Distal Balloon Useable Shaft Length: 165 cm
M7819660601|Device Size Text, specify|||Proximal Balloon Shaft Length: 135 cm
M7819660601|Device Size Text, specify|||Distal Balloon Diameter: 6.0 mm
