PrimaryDI|storageHandlingType|storageHandlingHigh (Unit)|storageHandlingHigh (Value)|storageHandlingLow (Unit)|storageHandlingLow (Value)|storageHandlingSpecialConditionText
00836462006010|Storage Environment Temperature|Degrees Fahrenheit|90|Degrees Fahrenheit|50|
00836462004689|Special Storage Condition, Specify|||||Keep dry;AVOID DIRECT SUNLIGHT
00836462004665|Special Storage Condition, Specify|||||Keep dry;AVOID DIRECT SUNLIGHT
00836462004641|Special Storage Condition, Specify|||||Keep dry;AVOID DIRECT SUNLIGHT
00836462004627|Special Storage Condition, Specify|||||Keep dry;AVOID DIRECT SUNLIGHT
00836462004603|Special Storage Condition, Specify|||||Keep dry;AVOID DIRECT SUNLIGHT
00836462004580|Special Storage Condition, Specify|||||Keep dry;AVOID DIRECT SUNLIGHT
00836462004467|Special Storage Condition, Specify|||||Keep dry;AVOID DIRECT SUNLIGHT
00836462004184|Special Storage Condition, Specify|||||Keep dry;AVOID DIRECT SUNLIGHT
00836462004177|Special Storage Condition, Specify|||||Keep dry; Avoid direct sunlight
00836462004146|Special Storage Condition, Specify|||||Keep dry; Avoid direct sunlight
00836462004122|Special Storage Condition, Specify|||||Keep dry; Avoid direct sunlight
00836462004559|Special Storage Condition, Specify|||||Keep dry;AVOID DIRECT SUNLIGHT
00836462004542|Special Storage Condition, Specify|||||Keep dry;AVOID DIRECT SUNLIGHT
00836462004481|Special Storage Condition, Specify|||||Keep dry;AVOID DIRECT SUNLIGHT
00836462004207|Special Storage Condition, Specify|||||Keep dry;AVOID DIRECT SUNLIGHT
00836462004115|Special Storage Condition, Specify|||||Keep dry; Avoid direct sunlight
M781DFH80115901|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M781DFH80115801|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M781DFH60115901|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M781DFH60115801|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M781DFH10135901|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M781DFH10115901|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M781DFH10115801|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M781DF80115801|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M781DF60115801|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M781DF45115801|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M781DF10135901|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M781DF10115801|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M7819680801|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M7819660601|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M7819645251|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M7819610101|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M7819445451|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M7819280801|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M7819260601|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M7819260251|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M7819245451|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M7819245251|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M7819210101|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M7819180801|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M7819180601|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M7819180451|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M7819180251|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M7819160601|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M7819160451|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M7819160251|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M7819145451|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M7819145251|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M7819110801|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M7819110601|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M7819110451|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M78110480801|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M78110460601|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M78110445451|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M78110080801|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M78110060601|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M78110045251|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
M78110010101|Handling Environment Temperature|Degrees Celsius|55|Degrees Celsius|-29|
10887714025256|Storage Environment Temperature|Degrees Celsius|45|Degrees Celsius|5|
10887714025249|Storage Environment Temperature|Degrees Celsius|45|Degrees Celsius|5|
10887714025232|Storage Environment Temperature|Degrees Celsius|45|Degrees Celsius|5|
10887714025225|Storage Environment Temperature|Degrees Celsius|45|Degrees Celsius|5|
10887714025218|Storage Environment Temperature|Degrees Celsius|45|Degrees Celsius|5|
10887714025201|Storage Environment Temperature|Degrees Celsius|45|Degrees Celsius|5|
