PrimaryDI|gmdnPTName|gmdnPTDefinition
00836462006010|Catheter/overtube balloon inflator, single-use|A device designed to inflate and regulate the pressure of the balloon of a catheter, endoscopic overtube, or other invasive device (e.g., tamp, endomicroscopy probe), typically by injecting and aspirating fluid or air within the balloon, and to deflate the balloon during a medical procedure. It typically consists of a dedicated manual syringe/plunger or electronic mechanism for inflation/deflation, an analogue or digital gauge/screen for monitoring pressure, a locking mechanism, and a connecting tube. This is a single-use device.
00836462004689|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
00836462004665|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
00836462004641|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
00836462004627|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
00836462004603|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
00836462004580|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
00836462004467|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
00836462004184|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
00836462004177|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
