PrimaryDI|deviceId|deviceIdType|deviceIdIssuingAgency|containsDINumber|pkgQuantity|pkgDiscontinuedate|pkgStatus|pkgType
00836462006010|00836462006010|Primary|GS1|||||
00836462006010|00847536003453|Unit of Use|GS1|||||
00836462004689|00836462004689|Primary|GS1|||||
00836462004665|00836462004665|Primary|GS1|||||
00836462004641|00836462004641|Primary|GS1|||||
00836462004627|00836462004627|Primary|GS1|||||
00836462004603|00836462004603|Primary|GS1|||||
00836462004580|00836462004580|Primary|GS1|||||
00836462004467|00836462004467|Primary|GS1|||||
00836462004184|00836462004184|Primary|GS1|||||
00836462004177|00836462004177|Primary|GS1|||||
00836462004146|00836462004146|Primary|GS1|||||
00836462004122|00836462004122|Primary|GS1|||||
00836462004559|00836462004559|Primary|GS1|||||
00836462004542|00836462004542|Primary|GS1|||||
00836462004481|00836462004481|Primary|GS1|||||
00836462004207|00836462004207|Primary|GS1|||||
00836462004115|00836462004115|Primary|GS1|||||
M781DFH80115901|M781DFH80115901|Primary|HIBCC|||||
M781DFH80115801|M781DFH80115801|Primary|HIBCC|||||
M781DFH60115901|M781DFH60115901|Primary|HIBCC|||||
M781DFH60115801|M781DFH60115801|Primary|HIBCC|||||
M781DFH10135901|M781DFH10135901|Primary|HIBCC|||||
M781DFH10115901|M781DFH10115901|Primary|HIBCC|||||
M781DFH10115801|M781DFH10115801|Primary|HIBCC|||||
M781DF80115801|M781DF80115801|Primary|HIBCC|||||
M781DF60115801|M781DF60115801|Primary|HIBCC|||||
M781DF45115801|M781DF45115801|Primary|HIBCC|||||
M781DF10135901|M781DF10135901|Primary|HIBCC|||||
M781DF10115801|M781DF10115801|Primary|HIBCC|||||
M7819680801|M7819680801|Primary|HIBCC|||||
M7819660601|M7819660601|Primary|HIBCC|||||
M7819645251|M7819645251|Primary|HIBCC|||||
M7819610101|M7819610101|Primary|HIBCC|||||
M7819445451|M7819445451|Primary|HIBCC|||||
M7819280801|M7819280801|Primary|HIBCC|||||
M7819260601|M7819260601|Primary|HIBCC|||||
M7819260251|M7819260251|Primary|HIBCC|||||
M7819245451|M7819245451|Primary|HIBCC|||||
M7819245251|M7819245251|Primary|HIBCC|||||
M7819210101|M7819210101|Primary|HIBCC|||||
M7819180801|M7819180801|Primary|HIBCC|||||
M7819180601|M7819180601|Primary|HIBCC|||||
M7819180451|M7819180451|Primary|HIBCC|||||
M7819180251|M7819180251|Primary|HIBCC|||||
M7819160601|M7819160601|Primary|HIBCC|||||
M7819160451|M7819160451|Primary|HIBCC|||||
M7819160251|M7819160251|Primary|HIBCC|||||
M7819145451|M7819145451|Primary|HIBCC|||||
M7819145251|M7819145251|Primary|HIBCC|||||
M7819110801|M7819110801|Primary|HIBCC|||||
M7819110601|M7819110601|Primary|HIBCC|||||
M7819110451|M7819110451|Primary|HIBCC|||||
M78110480801|M78110480801|Primary|HIBCC|||||
M78110460601|M78110460601|Primary|HIBCC|||||
M78110445451|M78110445451|Primary|HIBCC|||||
M78110080801|M78110080801|Primary|HIBCC|||||
M78110060601|M78110060601|Primary|HIBCC|||||
M78110045251|M78110045251|Primary|HIBCC|||||
M78110010101|M78110010101|Primary|HIBCC|||||
10887714025256|10887714025256|Primary|GS1|||||
10887714025249|10887714025249|Primary|GS1|||||
10887714025232|10887714025232|Primary|GS1|||||
10887714025225|10887714025225|Primary|GS1|||||
10887714025218|10887714025218|Primary|GS1|||||
10887714025201|10887714025201|Primary|GS1|||||
10887714025195|10887714025195|Primary|GS1|||||
10887714025188|10887714025188|Primary|GS1|||||
10887714025171|10887714025171|Primary|GS1|||||
10887714025164|10887714025164|Primary|GS1|||||
10887714025157|10887714025157|Primary|GS1|||||
10887714025140|10887714025140|Primary|GS1|||||
10887714025133|10887714025133|Primary|GS1|||||
10887714025126|10887714025126|Primary|GS1|||||
10887714025119|10887714025119|Primary|GS1|||||
10887714025102|10887714025102|Primary|GS1|||||
10887714025096|10887714025096|Primary|GS1|||||
10887714025089|10887714025089|Primary|GS1|||||
10887714025072|10887714025072|Primary|GS1|||||
10887714025065|10887714025065|Primary|GS1|||||
10887714025058|10887714025058|Primary|GS1|||||
10887714025041|10887714025041|Primary|GS1|||||
10887714025034|10887714025034|Primary|GS1|||||
10887714025027|10887714025027|Primary|GS1|||||
10887714025010|10887714025010|Primary|GS1|||||
10887714025003|10887714025003|Primary|GS1|||||
10887714024990|10887714024990|Primary|GS1|||||
10887714024983|10887714024983|Primary|GS1|||||
10887714024976|10887714024976|Primary|GS1|||||
10887714024969|10887714024969|Primary|GS1|||||
10887714024952|10887714024952|Primary|GS1|||||
10887714024945|10887714024945|Primary|GS1|||||
10887714024938|10887714024938|Primary|GS1|||||
10887714024921|10887714024921|Primary|GS1|||||
10887714024914|10887714024914|Primary|GS1|||||
10887714024907|10887714024907|Primary|GS1|||||
10887714024891|10887714024891|Primary|GS1|||||
10887714024884|10887714024884|Primary|GS1|||||
10887714024877|10887714024877|Primary|GS1|||||
10887714024860|10887714024860|Primary|GS1|||||
10887714024853|10887714024853|Primary|GS1|||||
10887714024846|10887714024846|Primary|GS1|||||
10887714024839|10887714024839|Primary|GS1|||||
10887714024822|10887714024822|Primary|GS1|||||
10887714024815|10887714024815|Primary|GS1|||||
10887714024808|10887714024808|Primary|GS1|||||
10887714024792|10887714024792|Primary|GS1|||||
10887714024785|10887714024785|Primary|GS1|||||
10887714024778|10887714024778|Primary|GS1|||||
10887714024761|10887714024761|Primary|GS1|||||
10887714024754|10887714024754|Primary|GS1|||||
10887714024747|10887714024747|Primary|GS1|||||
10887714024730|10887714024730|Primary|GS1|||||
10887714024723|10887714024723|Primary|GS1|||||
10887714024716|10887714024716|Primary|GS1|||||
10887714024709|10887714024709|Primary|GS1|||||
10887714024693|10887714024693|Primary|GS1|||||
10887714024686|10887714024686|Primary|GS1|||||
10887714024679|10887714024679|Primary|GS1|||||
10887714024662|10887714024662|Primary|GS1|||||
10887714024655|10887714024655|Primary|GS1|||||
10887714024648|10887714024648|Primary|GS1|||||
10887714024631|10887714024631|Primary|GS1|||||
10887714024624|10887714024624|Primary|GS1|||||
10887714024617|10887714024617|Primary|GS1|||||
10887714024600|10887714024600|Primary|GS1|||||
10887714024594|10887714024594|Primary|GS1|||||
10887714024587|10887714024587|Primary|GS1|||||
10887714024570|10887714024570|Primary|GS1|||||
10887714024563|10887714024563|Primary|GS1|||||
10887714024556|10887714024556|Primary|GS1|||||
10887714024549|10887714024549|Primary|GS1|||||
00811806011530|00811806011530|Primary|GS1|||||
00811806011523|00811806011523|Primary|GS1|||||
00811806011516|00811806011516|Primary|GS1|||||
M465ACX10106|M465ACX10106|Primary|HIBCC|||||
08714729402428|08714729402428|Primary|GS1|||||
08714729402404|08714729402404|Primary|GS1|||||
08714729402381|08714729402381|Primary|GS1|||||
08714729402367|08714729402367|Primary|GS1|||||
08714729402350|08714729402350|Primary|GS1|||||
00849111030014|00849111030014|Primary|GS1|||||
B380T39F150|B380T39F150|Primary|HIBCC|||||
B380T38F150|B380T38F150|Primary|HIBCC|||||
B380T311F300|B380T311F300|Primary|HIBCC|||||
B380NL9IRR30D0|B380NL9IRR30D0|Primary|HIBCC|||||
B380NL12IRR30D0|B380NL12IRR30D0|Primary|HIBCC|||||
B3809FCESB150|B3809FCESB150|Primary|HIBCC|||||
B3809FCES150|B3809FCES150|Primary|HIBCC|||||
B3809FCBS4004020|B3809FCBS4004020|Primary|HIBCC|||||
B3809FCBS4004010|B3809FCBS4004010|Primary|HIBCC|||||
B3809FCBS1001020|B3809FCBS1001020|Primary|HIBCC|||||
B3809FCBS1001010|B3809FCBS1001010|Primary|HIBCC|||||
B3808FCESB300|B3808FCESB300|Primary|HIBCC|||||
B3808FCESB150|B3808FCESB150|Primary|HIBCC|||||
B3808FCES300|B3808FCES300|Primary|HIBCC|||||
B3808FCES150|B3808FCES150|Primary|HIBCC|||||
B3808FCBS4004020|B3808FCBS4004020|Primary|HIBCC|||||
B3808FCBS4004010|B3808FCBS4004010|Primary|HIBCC|||||
B3808FCBS1001020|B3808FCBS1001020|Primary|HIBCC|||||
B3808FCBS1001010|B3808FCBS1001010|Primary|HIBCC|||||
B3807FIRR080P0|B3807FIRR080P0|Primary|HIBCC|||||
B3807FIRR080D0|B3807FIRR080D0|Primary|HIBCC|||||
B3807FIRR040P0|B3807FIRR040P0|Primary|HIBCC|||||
B3806FIRR080P0|B3806FIRR080P0|Primary|HIBCC|||||
B3806FIRR080D0|B3806FIRR080D0|Primary|HIBCC|||||
B3806FIRR040P0|B3806FIRR040P0|Primary|HIBCC|||||
B3806FIRR040D0|B3806FIRR040D0|Primary|HIBCC|||||
