PrimaryDI|productCode|productCodeName
00836462006010|MJN|Catheter, intravascular occluding, temporary
00836462004689|MJN|Catheter, intravascular occluding, temporary
00836462004665|MJN|Catheter, intravascular occluding, temporary
00836462004641|MJN|Catheter, intravascular occluding, temporary
00836462004627|MJN|Catheter, intravascular occluding, temporary
00836462004603|MJN|Catheter, intravascular occluding, temporary
00836462004580|MJN|Catheter, intravascular occluding, temporary
00836462004467|MJN|Catheter, intravascular occluding, temporary
00836462004184|MJN|Catheter, intravascular occluding, temporary
00836462004177|MJN|Catheter, intravascular occluding, temporary
00836462004146|MJN|Catheter, intravascular occluding, temporary
00836462004122|MJN|Catheter, intravascular occluding, temporary
00836462004559|MJN|Catheter, intravascular occluding, temporary
00836462004542|MJN|Catheter, intravascular occluding, temporary
00836462004481|MJN|Catheter, intravascular occluding, temporary
00836462004207|MJN|Catheter, intravascular occluding, temporary
00836462004115|MJN|Catheter, intravascular occluding, temporary
M781DFH80115901|MJN|Catheter, Intravascular Occluding, Temporary
M781DFH80115801|MJN|Catheter, Intravascular Occluding, Temporary
M781DFH60115901|MJN|Catheter, Intravascular Occluding, Temporary
M781DFH60115801|MJN|Catheter, Intravascular Occluding, Temporary
M781DFH10135901|MJN|Catheter, Intravascular Occluding, Temporary
M781DFH10115901|MJN|Catheter, Intravascular Occluding, Temporary
M781DFH10115801|MJN|Catheter, Intravascular Occluding, Temporary
M781DF80115801|MJN|Catheter, Intravascular Occluding, Temporary
M781DF60115801|MJN|Catheter, Intravascular Occluding, Temporary
M781DF45115801|MJN|Catheter, Intravascular Occluding, Temporary
M781DF10135901|MJN|Catheter, Intravascular Occluding, Temporary
M781DF10115801|MJN|Catheter, Intravascular Occluding, Temporary
M7819680801|MJN|Catheter, Intravascular Occluding, Temporary
M7819660601|MJN|Catheter, Intravascular Occluding, Temporary
M7819645251|MJN|Catheter, Intravascular Occluding, Temporary
M7819610101|MJN|Catheter, Intravascular Occluding, Temporary
M7819445451|MJN|Catheter, Intravascular Occluding, Temporary
M7819280801|MJN|Catheter, Intravascular Occluding, Temporary
M7819260601|MJN|Catheter, Intravascular Occluding, Temporary
M7819260251|MJN|Catheter, Intravascular Occluding, Temporary
M7819245451|MJN|Catheter, Intravascular Occluding, Temporary
M7819245251|MJN|Catheter, Intravascular Occluding, Temporary
M7819210101|MJN|Catheter, Intravascular Occluding, Temporary
M7819180801|MJN|Catheter, Intravascular Occluding, Temporary
M7819180601|MJN|Catheter, Intravascular Occluding, Temporary
M7819180451|MJN|Catheter, Intravascular Occluding, Temporary
M7819180251|MJN|Catheter, Intravascular Occluding, Temporary
M7819160601|MJN|Catheter, Intravascular Occluding, Temporary
M7819160451|MJN|Catheter, Intravascular Occluding, Temporary
M7819160251|MJN|Catheter, Intravascular Occluding, Temporary
M7819145451|MJN|Catheter, Intravascular Occluding, Temporary
M7819145251|MJN|Catheter, Intravascular Occluding, Temporary
M7819110801|MJN|Catheter, Intravascular Occluding, Temporary
M7819110601|MJN|Catheter, Intravascular Occluding, Temporary
M7819110451|MJN|Catheter, Intravascular Occluding, Temporary
M78110480801|MJN|Catheter, Intravascular Occluding, Temporary
M78110460601|MJN|Catheter, Intravascular Occluding, Temporary
M78110445451|MJN|Catheter, Intravascular Occluding, Temporary
M78110080801|MJN|Catheter, Intravascular Occluding, Temporary
M78110060601|MJN|Catheter, Intravascular Occluding, Temporary
M78110045251|MJN|Catheter, Intravascular Occluding, Temporary
M78110010101|MJN|Catheter, Intravascular Occluding, Temporary
10887714025256|MJN|Catheter, Intravascular Occluding, Temporary
10887714025249|MJN|Catheter, Intravascular Occluding, Temporary
